"id","lat","lng","artdtsch","artbot","gattungdeutsch","strname","pflanzjahr","standalter","bezirk","standortnr","wassermenge","wassersumme","anzahlg"
"1990","51.324100000000001","12.322361200000000","Esskastanie",NULL,NULL,NULL,2016,5,NULL,"osm_6057706780",10,10,1
"id-8932","51.327801893031186","12.345947986205204","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Könneritzstraße",2016,5,"Schleußig","39601",25,25,1
"id-19575","51.310129193370912","12.378725258580154","Linde","Tilia species","Tilia","Arno-Nitzsche-Straße",1992,29,"Connewitz","31809",5,5,1
"1159","51.363165948112588","12.376567764781221","Feld-Ahorn ''Huibers Elegant'","Acer campestre 'Huibers Elegant'","Acer","Wilhelm-Sammet-Straße",2020,1,"Gohlis-Mitte","77013",10,10,1
"id-59479","51.316128099228557","12.325596425825827","Säulen-Ulme","Ulmus 'Columella'","Ulmus","Rolf-Axen-Straße",2019,2,"Kleinzschocher","76162",25,25,1
"id-19678","51.309850726393876","12.376549137661394","Spitz-Ahorn Fairview","Acer platanoides 'Fairview'","Acer","Bernhard-Göring-Straße",2015,6,"Connewitz","30670",10,45,5
"id-28312","51.330802954245733","12.398800713963844","Zierkirsche","Prunus x schmittii","Prunus","Stiftsstraße",2001,20,"Reudnitz-Thonberg","22480",25,35,2
"id-53068","51.342933481657695","12.375730848093387","Säulen-Eiche 'Fastigiata Koster'","Quercus robur 'Fastigiata Koster'","Quercus","Katharinenstraße",2017,4,"Zentrum","71039",50,80,4
"id-22093","51.322122490089853","12.372971500816085","Straßen-Robinie","Robinia pseudoacacia 'Monophylla'","Robinia","Alfred-Kästner-Straße",2004,17,"Südvorstadt","31279",10,80,10
"id-19434","51.307095123988560","12.371999196804460","Feld-Ahorn 'Elsrijk'","Acer campestre 'Elsrijk'","Acer","Mathildenstraße",2007,14,"Connewitz","41642",50,60,2
"id-29122","51.348018168755665","12.371741532816429","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Parthenstraße",2011,10,"Zentrum-Nord","12944",50,75,2
"id-44447","51.375356129821441","12.346065164925086","Kaiser-Linde","Tilia x vulgaris 'Pallida'","Tilia","Max-Liebermann-Straße",2006,15,"Möckern","59069",10,30,3
"id-44448","51.375356071598496","12.346197523506016","Kaiser-Linde","Tilia x vulgaris 'Pallida'","Tilia","Max-Liebermann-Straße",2006,15,"Möckern","59070",10,30,3
"id-14812","51.338425420909758","12.363060148720006","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Friedrich-Ebert-Straße",2005,16,"Zentrum-West","35949",10,10,1
"id-8446","51.317293437308315","12.368545184613353","Kaiser-Linde","Tilia x vulgaris 'Pallida'","Tilia","August-Bebel-Straße",2009,12,"Südvorstadt","41741",25,95,8
"id-59424","51.335458130532075","12.335034084233587","Amberbaum","Liquidambar styraciflua","Liquidambar","Siemeringstraße",2017,4,"Lindenau","75075",10,370,37
"id-8459","51.320769807080019","12.342188526200419","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Könneritzstraße",2016,5,"Schleußig","39441",25,90,7
"id-8925","51.328125593866808","12.346122662661733","Hopfenbuche","Ostrya carpinifolia","Ostrya","Könneritzstraße",2016,5,"Schleußig","39634",50,100,5
"id-23292","51.326333256729917","12.400090786569249","Platane","Platanus x acerifolia","Platanus","Prager Straße",2011,10,"Reudnitz-Thonberg","21322",10,60,6
"id-498","51.269680806812332","12.302149723249116","Linde","Tilia species","Tilia","Knautnaundorfer Straße",2003,18,"Knautkleeberg-Knauthain","45285",50,50,1
"308","51.388751830124200","12.325065360000609","Zierkirsche","Prunus x schmittii","Prunus","Sandweg",2020,1,"Lindenthal","62134",25,110,5
"id-59910","51.317626750493865","12.372672590399842","Französischer Ahorn","Acer monspessulanum","Acer","Steinstraße",2018,3,"Südvorstadt","75767",25,50,2
"id-19601","51.307025001047769","12.382190095050500","Spitz-Ahorn 'Farlake's Green'","Acer platanoides 'Farlake's Green'","Acer","Meusdorfer Straße",2005,16,"Connewitz","33560",10,310,32
"id-44326","51.375245503028935","12.344204657556899","Gefülltblühende Rosskastanie","Aesculus hippocastanum 'Baumannii'","Aesculus","Verlängerte Max-Liebermann-Straße",2006,15,"Möckern","42725",10,10,1
"id-27362","51.327802646212085","12.445502384901154","Hainbuche","Carpinus betulus","Carpinus","Buchenweg",1998,23,"Mölkau","17631",50,50,1
"id-19595","51.307138892532762","12.382106841596912","Spitz-Ahorn 'Farlake's Green'","Acer platanoides 'Farlake's Green'","Acer","Meusdorfer Straße",2013,8,"Connewitz","33569",10,135,14
"id-31103","51.344925133786361","12.418971470061280","Säulen-Hainbuche 'Frans Fontaine'","Carpinus betulus 'Frans Fontaine'","Carpinus","Eisenbahnstraße",2001,20,"Volkmarsdorf","8934",50,400,8
"id-8991","51.326243444221447","12.345121269866103","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Könneritzstraße",2016,5,"Schleußig","39586",50,245,15
"1383","51.347371064093799","12.397784042674816","Säulen-Hainbuche 'Frans Fontaine'","Carpinus betulus 'Frans Fontaine'","Carpinus","Mariannenstraße",2020,1,"Neustadt-Neuschönefeld","8211",50,80,4
"id-8968","51.327082991932045","12.345265699297661","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Brockhausstraße",2016,5,"Schleußig","39569",10,20,2
"id-58704","51.330563717230092","12.306435911782797","Sumpf-Eiche","Quercus palustris","Quercus","Hafenstraße",2014,7,"Schönau","74423",25,105,5
"id-59739","51.329741937042336","12.307945742760406","Nelken-Kirsche","Prunus serrulata 'Kanzan'","Prunus","Hafenstraße",2018,3,"Schönau","75500",50,100,2
"id-58748","51.331092298085089","12.317613889653831","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Lützner Straße",2014,7,"Neulindenau","74478",10,10,1
"id-13468","51.335868924403741","12.341819608259225","Platane","Platanus x acerifolia","Platanus","Bowmanstraße",2008,13,"Altlindenau","44362",10,10,1
"id-9108","51.328510043204119","12.346334747656478","Baumhasel","Corylus colurna","Corylus","Könneritzstraße",1995,26,"Schleußig","39628",25,25,1
"id-28461","51.334492076671999","12.400446706483869","Gefülltblühende Rosskastanie","Aesculus hippocastanum 'Baumannii'","Aesculus","Reichpietschstraße",1999,22,"Reudnitz-Thonberg","22193",10,10,1
"id-28468","51.334341697006458","12.401212305116765","Gefülltblühende Rosskastanie","Aesculus hippocastanum 'Baumannii'","Aesculus","Reichpietschstraße",2005,16,"Reudnitz-Thonberg","22198",10,40,4
"id-19600","51.306988815613131","12.382092283920066","Spitz-Ahorn 'Farlake's Green'","Acer platanoides 'Farlake's Green'","Acer","Meusdorfer Straße",2010,11,"Connewitz","33559",10,135,14
"id-1078","51.305122070236543","12.267719119678436","Walnuss 'Wunder von Monrepos'","Juglans regia 'Wunder von Monrepos'","Juglans","Miltitzer Allee",2017,4,"Lausen-Grünau","48593",50,75,2
"id-25944","51.323458917568281","12.417792343438824","Chinesische Wildbirne 'Chanticleer'","Pyrus calleryana 'Chanticleer'","Pyrus","Papiermühlstraße",2001,20,"Stötteritz","23885",10,10,1
"id-13467","51.335946844978125","12.341908141703776","Platane","Platanus x acerifolia","Platanus","Bowmanstraße",2008,13,"Altlindenau","44361",10,10,1
"id-6992","51.310375245311825","12.369255891893934","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Windscheidstraße",1995,26,"Connewitz","42622",50,100,3
"id-19417","51.307159163311539","12.371634792528351","Feld-Ahorn 'Elsrijk'","Acer campestre 'Elsrijk'","Acer","Mathildenstraße",2007,14,"Connewitz","41625",25,30,2
