"id","lat","lng","artdtsch","artbot","gattungdeutsch","strname","pflanzjahr","standalter","bezirk","standortnr","wassermenge","wassersumme","anzahlg"
"10090","51.313892051963123","12.330859666558416","Stiel-Eiche","Quercus robur","Quercus","Volkspark Kleinzschocher",2016,7,"Kleinzschocher","osm_paten_G34432",70,"77","2"
"10097","51.314298933699419","12.335493177710426","Kultur-Birne","Pyrus communis","Pyrus","Volkspark Kleinzschocher",2018,5,"Kleinzschocher","osm_paten_G44185",20,"34","4"
"10152","51.309907821703561","12.378153825149212","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Wiedebachplatz",2010,13,"Connewitz","osm_paten_G497",9,"9","1"
"10398","51.321595144817259","12.255526783161246","Robinie","Robinia pseudoacacia","Robinia","Park Miltitz",2021,2,"Miltitz","osm_paten_84535",50,"285","6"
"10434","51.314448351738889","12.327734553063374","Vielblütiger Apfel","Malus floribunda","Malus","Volkspark Kleinzschocher",2022,1,"Kleinzschocher","osm_paten_G1135",100,"200","2"
"10703","51.321095699975636","12.423794473633412","Holländische Linde","Tilia x vulgaris","Tilia","Oberdorfstraße/Dorstigstraße (Marienkirchplatz)",2022,1,"Stötteritz","osm_paten_G26691",25,"80","4"
"11419","51.342666572298313","12.392864363790357","Holländische Linde","Tilia x vulgaris","Tilia","Marienplatz",2023,0,"Zentrum-Ost","osm_paten_10137",5,"5","1"
"11455","51.342635065966043","12.356897145003840","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Friedrich-Ebert-Straße",2022,1,"Zentrum-Nordwest","osm_paten_35992",12,"17","2"
"11612","51.309273362839541","12.370980249929989","Rotdorn","Crataegus laevigata 'Paul's Scarlet'","Crataegus","Selnecker-/Brandstraße (Connewitzer Kirche)",2017,6,"Connewitz","osm_paten_G549",7,"7","1"
"11781","51.395536592028961","12.381043340174367","Französischer Ahorn","Acer monspessulanum","Acer","Spielplatz Theobald-Beer-Straße (1. BA)/B-Plan E-135 ""Nördlich Seehausener Straße""",2021,2,"Wiederitzsch","osm_paten_79700",25,"75","3"
"11855","51.324527226113744","12.322509639975173","Feld-Ahorn","Acer campestre","Acer","Gleis-Grün-Zug Bahnhof Plagwitz",2016,7,"Plagwitz","osm_paten_G42141",50,"190","4"
"11877","51.322335405187459","12.321839683106285","Silber-Linde","Tilia tomentosa","Tilia","Gleis-Grün-Zug Bahnhof Plagwitz",2017,6,"Plagwitz","osm_paten_G42178",60,"200","4"
"11888","51.321984312955621","12.321051430982166","Kultur-Birne 'Clapps Liebling'","Pyrus communis 'Clapps Liebling'","Pyrus","Gleis-Grün-Zug Bahnhof Plagwitz",2022,1,"Plagwitz","osm_paten_G42200",150,"750","7"
"11889","51.322126878006053","12.320933884308666","Haus-Apfel  'Weißer Winter-Calville'","Malus domestica 'Weißer Winter-Calville'","Malus","Gleis-Grün-Zug Bahnhof Plagwitz",2020,3,"Plagwitz","osm_paten_G42203",100,"500","5"
"11891","51.322987534776857","12.321189601031774","Haus-Apfel  'Roter Eiserapfel'","Malus domestica 'Roter Eiserapfel'","Malus","Gleis-Grün-Zug Bahnhof Plagwitz",2016,7,"Plagwitz","osm_paten_G42217",100,"100","1"
"11893","51.322776755404981","12.321340839260074","Feld-Ahorn","Acer campestre","Acer","Gleis-Grün-Zug Bahnhof Plagwitz",2020,3,"Plagwitz","osm_paten_G47636",100,"100","1"
"12116","51.343091981560747","12.392835759515766","Holländische Linde","Tilia x vulgaris","Tilia","Marienplatz",2013,10,"Zentrum-Ost","osm_paten_10144",13,"23","2"
"12117","51.343401957555351","12.393007290533918","Holländische Linde","Tilia x vulgaris","Tilia","Marienplatz",2013,10,"Zentrum-Ost","osm_paten_10151",12,"22","2"
"12118","51.342439739577529","12.393558929298653","Holländische Linde","Tilia x vulgaris","Tilia","Marienplatz",2018,5,"Zentrum-Ost","osm_paten_10171",21,"29","2"
"12120","51.342853289832853","12.392949260441156","Holländische Linde","Tilia x vulgaris","Tilia","Marienplatz",2010,13,"Zentrum-Ost","osm_paten_10186",16,"16","1"
