"id","lat","lng","artdtsch","artbot","gattungdeutsch","strname","pflanzjahr","standalter","bezirk","standortnr","wassermenge","wassersumme","anzahlg"
"8875","51.3675159972","12.3451874833","Haus-Apfel 'Professor Sprenger'","Malus domestica 'Professor Sprenger'","Malus","Dantestraße/Georg-Schumann-Straße (Kirchplatz Möckern)",2021,3,"Möckern","G50511",300,"1200","4"
"8876","51.3755514979","12.3627937517","Zerr-Eiche","Quercus cerris","Quercus","Landsberger-/Max-Liebermann-Straße/Hannoversche Straße",2019,5,"Gohlis-Nord","G52821",300,"1200","4"
"8877","51.375470142","12.3627915314","Zerr-Eiche","Quercus cerris","Quercus","Landsberger-/Max-Liebermann-Straße/Hannoversche Straße",2019,5,"Gohlis-Nord","G52822",300,"1200","4"
"8878","51.3756511039","12.3630033001","Zerr-Eiche","Quercus cerris","Quercus","Landsberger-/Max-Liebermann-Straße/Hannoversche Straße",2019,5,"Gohlis-Nord","G52823",300,"1200","4"
"8879","51.3755687609","12.36316094","Feld-Ahorn","Acer campestre","Acer","Landsberger-/Max-Liebermann-Straße/Hannoversche Straße",2019,5,"Gohlis-Nord","G52824",300,"1200","4"
"8880","51.3754778092","12.3634275738","Elsbeere","Sorbus torminalis","Sorbus","Landsberger-/Max-Liebermann-Straße/Hannoversche Straße",2019,5,"Gohlis-Nord","G52825",300,"1200","4"
"8881","51.3752528413","12.3633384734","Elsbeere","Sorbus torminalis","Sorbus","Landsberger-/Max-Liebermann-Straße/Hannoversche Straße",2019,5,"Gohlis-Nord","G52826",300,"1200","4"
"8888","51.3314102007","12.4466193977","Stiel-Eiche","Quercus robur","Quercus","Schulstraße am Regenrückhaltebecken",2021,3,"Mölkau","G55861",300,"1200","4"
"8890","51.3314815023","12.4475111181","Vogel-Kirsche","Prunus avium","Prunus","Schulstraße am Regenrückhaltebecken",2021,3,"Mölkau","G55873",300,"1200","4"
"8891","51.3314682602","12.4477568729","Hainbuche","Carpinus betulus","Carpinus","Schulstraße am Regenrückhaltebecken",2021,3,"Mölkau","G55875",300,"1200","4"
"8896","51.3355200491","12.3748160882","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Promenadenring, Wilhelm-Leuschner-Platz",2015,9,"Zentrum-Süd","G35215",300,"1500","5"
"89","51.4012949252","12.4666941452","Mirabelle von Nancy","Prunus domestica syriaca 'Nancymirabelle'","Prunus","Merkwitzer Landstraße",2020,4,"Plaußig-Portitz","14872",300,"1200","4"
"8905","51.3343680694","12.4345387032","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2018,6,"Anger-Crottendorf","G59",300,"1200","4"
"8907","51.3343629212","12.4350753964","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2015,9,"Anger-Crottendorf","G61",300,"1200","4"
"8913","51.3367843128","12.4314632697","Pyramiden-Pappel","Populus nigra 'Italica'","Populus","Volkshain Stünz",2020,4,"Anger-Crottendorf","G196",300,"1200","4"
"8921","51.3374106838","12.4294978562","Rot-Eiche","Quercus rubra","Quercus","Volkshain Stünz",2020,4,"Anger-Crottendorf","G12251",300,"1200","4"
"8922","51.3373553389","12.4294554365","Rot-Eiche","Quercus rubra","Quercus","Volkshain Stünz",2020,4,"Anger-Crottendorf","G12252",300,"1200","4"
"8923","51.3372384227","12.429361469","Rot-Eiche","Quercus rubra","Quercus","Volkshain Stünz",2020,4,"Anger-Crottendorf","G12253",300,"1200","4"
"8924","51.3372655954","12.4295094221","Rot-Eiche","Quercus rubra","Quercus","Volkshain Stünz",2020,4,"Anger-Crottendorf","G12261",300,"1200","4"
"8925","51.3373266734","12.4295589874","Rot-Eiche","Quercus rubra","Quercus","Volkshain Stünz",2020,4,"Anger-Crottendorf","G12262",300,"1200","4"
"8926","51.3363778554","12.431183611","Pflaumenblättriger Weißdorn","Crataegus persimilis","Crataegus","Volkshain Stünz",2015,9,"Anger-Crottendorf","G12271",300,"1200","4"
"8927","51.3365909312","12.4293648258","Stiel-Eiche","Quercus robur","Quercus","Volkshain Stünz",2020,4,"Anger-Crottendorf","G12278",300,"1200","4"
"8928","51.3366505426","12.4296875707","Gemeine Esche","Fraxinus excelsior","Fraxinus","Volkshain Stünz",2015,9,"Anger-Crottendorf","G12280",300,"1200","4"
