"id","lat","lng","artdtsch","artbot","gattungdeutsch","strname","pflanzjahr","standalter","bezirk","standortnr","wassermenge","wassersumme","anzahlg"
"id-59864","51.3081033402","12.3795834969","Amberbaum","Liquidambar styraciflua","Liquidambar","Pfeffingerstraße",2018,6,"Connewitz","75523",20,"20","1"
"1472","51.3328068363","12.4065153021","Kegelförmiger Spitz-Ahorn","Acer platanoides 'Emerald Queen'","Acer","Riebeckstraße",2020,4,"Reudnitz-Thonberg","22123",80,"440","9"
"11890","51.322525965","12.321256844","Essbare Eberesche","Sorbus aucuparia 'Edulis'","Sorbus","Gleis-Grün-Zug Bahnhof Plagwitz",2016,8,"Plagwitz","G42207",100,"200","2"
"id-31675","51.3439365728","12.4282021345","Schmalkronige Weiß-Esche","Fraxinus americana 'Skyline'","Fraxinus","Wurzner Straße",2014,10,"Sellerhausen-Stünz","6063",45,"75","3"
"id-12853","51.3373287354","12.3372399177","Chinesische Wildbirne 'Chanticleer'","Pyrus calleryana 'Chanticleer'","Pyrus","Kuhturmstraße",2012,12,"Altlindenau","55018",20,"130","11"
"7628","51.3906922545","12.3188923472","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Karl-Marx-Platz",2018,6,"Lindenthal","G46670",10,"20","2"
"id-8932","51.3278018936","12.3459479862","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Könneritzstraße",2016,8,"Schleußig","39601",48,"96","2"
"16218","51.3397976577","12.3331721045","Säulen-Eiche 'Fastigiata Koster'","Quercus robur 'Fastigiata Koster'","Quercus","Mühligstraße",2023,1,"Altlindenau","133599",15,"45","3"
"id-29099","51.3477559692","12.3730179873","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Parthenstraße",2012,12,"Zentrum-Nord","12930",25,"225","20"
"id-60282","51.3275195793","12.2781942974","Stiel-Eiche","Quercus robur","Quercus","Lyoner Straße",2019,5,"Schönau","76342",100,"400","4"
